State or Region,Institution Sector,sector_sort,Fall_2003_Active,Fall_2003_IPEDS_Universe,Fall_2004_Active,Fall_2004_IPEDS_Universe,Fall_2005_Active,Fall_2005_IPEDS_Universe,Fall_2006_Active,Fall_2006_IPEDS_Universe,Fall_2007_Active,Fall_2007_IPEDS_Universe,Fall_2008_Active,Fall_2008_IPEDS_Universe,Fall_2009_Active,Fall_2009_IPEDS_Universe,Fall_2010_Active,Fall_2010_IPEDS_Universe,Fall_2011_Active,Fall_2011_IPEDS_Universe,Fall_2012_Active,Fall_2012_IPEDS_Universe,Fall_2013_Active,Fall_2013_IPEDS_Universe,Fall_2014_Active,Fall_2014_IPEDS_Universe,Fall_2015_Active,Fall_2015_IPEDS_Universe,Fall_2016_Active,Fall_2016_IPEDS_Universe,Fall_2017_Active,Fall_2017_IPEDS_Universe,Fall_2018_Active,Fall_2018_IPEDS_Universe,Fall_2019_Active,Fall_2019_IPEDS_Universe,Fall_2020_Active*,Fall_2020_IPEDS_Universe*,(* estimated)
Delaware,"All Private, not-for-profit Institutions",5,"9,119","10,520","9,163","10,144","10,193","11,635","10,511","11,919","10,673","12,081","11,586","12,926","12,302","13,528","12,420","13,582","13,026","14,182","14,228","15,580","15,472","17,340","16,267","18,279","16,805","18,802","16,959","19,022","15,874","17,697","16,255","17,748","16,016","17,343","16,016","17,343",
Delaware,"All Private, for-profit Institutions",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delaware,"Public, 4-year",7,"24,299","24,299","24,508","24,508","24,704","24,704","24,070","24,070","24,098","24,098","24,034","24,034","24,747","24,747","24,934","24,934","25,643","25,643","26,180","26,180","26,502","26,502","27,077","27,077","27,140","27,140","41,816","41,816","42,321","42,321","42,601","42,601","42,236","42,236","42,236","42,236",
Delaware,"Private, not-for-profit, 4-year",8,"9,119","10,304","9,163","9,968","10,193","11,456","10,511","11,747","10,673","11,870","11,366","12,706","12,076","13,302","12,197","13,359","12,779","13,935","14,017","15,369","15,276","17,144","16,082","18,094","16,652","18,649","16,789","18,852","15,731","17,554","16,137","17,630","15,881","17,208","15,881","17,208",
Delaware,"Private, for-profit, 4-year",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delaware,"Public, 2-year",10,"13,322","13,322","13,735","13,735","13,978","13,978","14,048","14,048","14,994","14,994","14,918","14,918","15,681","15,681","15,474","15,474","15,055","15,055","14,933","14,933","14,490","14,490","13,935","13,935","13,471","13,471",0,0,0,0,0,0,0,0,0,0,
Delaware,"Private, not-for-profit, 2-year",11,0,216,0,176,0,179,0,172,0,211,220,220,226,226,223,223,247,247,211,211,196,196,185,185,153,153,170,170,143,143,118,118,135,135,135,135,
Delaware,"Private, for-profit, 2-year",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
District_of_Columbia,Overall,1,"84,555","95,297","89,203","99,988","93,851","104,897","103,850","109,505","109,767","115,140","120,665","126,083","132,879","136,684","141,457","143,270","134,392","135,965","127,162","128,526","122,187","123,595","121,225","121,885","126,033","127,212","126,749","127,520","130,007","130,654","134,927","135,551","140,924","141,533","140,924","141,533",
District_of_Columbia,All 4-year Institutions,2,"84,555","95,297","89,203","99,988","93,851","104,897","103,850","109,505","109,767","115,140","120,665","126,083","132,879","136,684","141,457","143,270","134,392","135,965","127,162","128,526","122,187","123,415","121,225","121,648","126,033","126,343","126,749","127,041","130,007","130,267","134,927","135,203","140,924","141,162","140,924","141,162",
District_of_Columbia,All 2-year Institutions,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,237,0,869,0,479,0,387,0,348,0,371,0,371,
District_of_Columbia,All Public Institutions,4,0,"5,424",0,"5,388",0,"5,595","5,769","5,769","5,608","5,608","5,584","5,584","5,253","5,253","5,840","5,840","5,280","5,280","5,476","5,476","5,347","5,347","5,115","5,115","5,118","5,118","4,587","4,587","4,529","4,529","4,500","4,500","4,452","4,452","4,452","4,452",
District_of_Columbia,"All Private, not-for-profit Institutions",5,"64,417","69,513","65,536","70,687","66,542","71,695","67,427","72,783","68,405","73,460","69,590","74,542","73,301","76,808","76,701","78,215","77,338","78,644","77,631","78,703","77,648","78,535","77,951","78,132","78,726","78,910","78,400","78,552","80,508","80,678","80,774","80,939","80,693","80,839","80,693","80,839",
District_of_Columbia,"All Private, for-profit Institutions",6,"20,138","20,360","23,667","23,913","27,309","27,607","30,654","30,953","35,754","36,072","45,491","45,957","54,325","54,623","58,916","59,215","51,774","52,041","44,055","44,347","39,192","39,713","38,159","38,638","42,189","43,184","43,762","44,381","44,970","45,447","49,653","50,112","55,779","56,242","55,779","56,242",
District_of_Columbia,"Public, 4-year",7,0,"5,424",0,"5,388",0,"5,595","5,769","5,769","5,608","5,608","5,584","5,584","5,253","5,253","5,840","5,840","5,280","5,280","5,476","5,476","5,347","5,347","5,115","5,115","5,118","5,118","4,587","4,587","4,529","4,529","4,500","4,500","4,452","4,452","4,452","4,452",
District_of_Columbia,"Private, not-for-profit, 4-year",8,"64,417","69,513","65,536","70,687","66,542","71,695","67,427","72,783","68,405","73,460","69,590","74,542","73,301","76,808","76,701","78,215","77,338","78,644","77,631","78,703","77,648","78,535","77,951","78,110","78,726","78,881","78,400","78,552","80,508","80,678","80,774","80,939","80,693","80,839","80,693","80,839",
District_of_Columbia,"Private, for-profit, 4-year",9,"20,138","20,360","23,667","23,913","27,309","27,607","30,654","30,953","35,754","36,072","45,491","45,957","54,325","54,623","58,916","59,215","51,774","52,041","44,055","44,347","39,192","39,533","38,159","38,423","42,189","42,344","43,762","43,902","44,970","45,060","49,653","49,764","55,779","55,871","55,779","55,871",
District_of_Columbia,"Public, 2-year",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
District_of_Columbia,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0,
District_of_Columbia,"Private, for-profit, 2-year",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,215,0,840,0,479,0,387,0,348,0,371,0,371,
Florida,Overall,1,"684,798","825,312","744,366","849,255","745,519","855,157","751,633","868,514","787,489","898,390","828,658","957,685","887,190","1,036,160","921,525","1,101,630","962,982","1,121,969","989,232","1,128,563","988,143","1,102,005","983,955","1,086,463","972,738","1,060,524","969,045","1,058,522","966,199","1,055,107","965,575","1,054,157","961,552","1,053,249","983,218","1,053,249",
Florida,All 4-year Institutions,2,"403,800","516,081","465,022","545,673","472,874","557,049","502,794","597,900","546,363","635,009","587,979","691,688","713,119","828,756","798,333","934,944","879,664","995,833","914,863","1,013,447","933,820","1,015,709","939,571","1,010,746","925,832","985,846","933,508","993,846","931,998","989,873","934,881","992,858","931,685","993,549","953,351","993,549",
Florida,All 2-year Institutions,3,"280,998","309,231","279,344","303,582","272,645","298,108","248,839","270,614","241,126","263,381","240,679","265,997","174,071","207,404","123,192","166,686","83,318","126,136","74,369","115,116","54,323","86,296","44,384","75,717","46,906","74,678","35,537","64,676","34,201","65,234","30,694","61,299","29,867","59,700","29,867","59,700",
Florida,All Public Institutions,4,"584,215","643,784","636,672","649,857","634,630","648,999","636,921","651,908","666,712","683,328","702,010","709,593","751,527","759,479","782,089","790,027","795,438","803,200","797,168","804,693","793,700","795,860","793,548","795,628","792,257","794,390","797,048","797,048","796,589","798,045","799,026","800,451","797,952","797,952","797,952","797,952",
Florida,"All Private, not-for-profit Institutions",5,"100,583","131,897","107,694","140,729","110,889","145,140","114,712","148,097","119,382","149,679","125,178","153,311","134,058","161,761","135,606","160,819","135,562","178,884","150,249","178,673","152,706","178,599","151,905","179,621","168,307","206,006","160,149","204,437","158,663","202,813","155,920","201,147","157,304","201,409","157,304","201,409",
Florida,"All Private, for-profit Institutions",6,0,"49,631",0,"58,669",0,"61,018",0,"68,509","1,395","65,383","1,470","94,781","1,605","114,920","3,830","150,784","31,982","139,885","41,815","145,197","41,737","127,546","38,502","111,214","12,174","60,128","11,848","57,037","10,947","54,249","10,629","52,559","6,296","53,888","27,962","53,888",
Florida,"Public, 4-year",7,"303,217","353,114","357,328","365,574","361,985","371,553","388,082","398,451","425,586","437,112","461,331","463,684","577,456","579,848","660,985","663,248","715,086","717,439","727,599","732,643","741,077","743,237","750,879","752,959","750,917","753,050","767,650","767,650","768,963","770,419","775,843","777,268","775,548","775,548","775,548","775,548",
Florida,"Private, not-for-profit, 4-year",8,"100,583","129,837","107,694","138,498","110,889","143,132","114,712","147,998","119,382","149,575","125,178","153,159","134,058","161,469","135,606","160,541","135,562","177,840","150,249","177,043","152,706","176,810","151,905","178,049","168,073","190,721","159,973","186,252","158,663","182,667","154,881","179,886","155,953","180,557","155,953","180,557",
Florida,"Private, for-profit, 4-year",9,0,"33,130",0,"41,601",0,"42,364",0,"51,451","1,395","48,322","1,470","74,845","1,605","87,439","1,742","111,155","29,016","100,554","37,015","103,761","40,037","95,662","36,787","79,738","6,842","42,075","5,885","39,944","4,372","36,787","4,157","35,704",184,"37,444","21,850","37,444",
Florida,"Public, 2-year",10,"280,998","290,670","279,344","284,283","272,645","277,446","248,839","253,457","241,126","246,216","240,679","245,909","174,071","179,631","121,104","126,779","80,352","85,761","69,569","72,050","52,623","52,623","42,669","42,669","41,340","41,340","29,398","29,398","27,626","27,626","23,183","23,183","22,404","22,404","22,404","22,404",
Florida,"Private, not-for-profit, 2-year",11,0,"2,060",0,"2,231",0,"2,008",0,99,0,104,0,152,0,292,0,278,0,"1,044",0,"1,630",0,"1,789",0,"1,572",234,"15,285",176,"18,185",0,"20,146","1,039","21,261","1,351","20,852","1,351","20,852",
Florida,"Private, for-profit, 2-year",12,0,"16,501",0,"17,068",0,"18,654",0,"17,058",0,"17,061",0,"19,936",0,"27,481","2,088","39,629","2,966","39,331","4,800","41,436","1,700","31,884","1,715","31,476","5,332","18,053","5,963","17,093","6,575","17,462","6,472","16,855","6,112","16,444","6,112","16,444",
Georgia,Overall,1,"357,739","404,555","366,021","426,264","379,787","418,467","385,286","426,711","401,315","444,359","417,589","466,499","469,073","519,594","491,084","546,174","487,019","546,905","480,417","526,205","474,552","514,531","475,857","512,186","490,196","514,148","490,955","517,356","494,994","523,311","512,550","530,519","522,743","539,676","525,132","539,676",
Georgia,All 4-year Institutions,2,"242,676","270,168","245,765","283,211","248,997","268,904","261,714","284,428","277,329","301,898","290,649","319,838","313,016","347,900","322,415","362,593","327,322","374,414","335,862","371,883","337,266","367,454","352,346","380,517","367,566","386,431","377,998","398,957","379,884","403,168","394,225","406,350","399,831","410,942","402,220","410,942",
Georgia,All 2-year Institutions,3,"115,063","134,387","120,256","143,053","130,790","149,563","123,572","142,283","123,986","142,461","126,940","146,661","156,057","171,694","168,669","183,581","159,697","172,491","144,555","154,322","137,286","147,077","123,511","131,669","122,630","127,717","112,957","118,399","115,110","120,143","118,325","124,169","122,912","128,734","122,912","128,734",
Georgia,All Public Institutions,4,"305,616","330,052","311,586","335,979","323,551","342,012","327,269","346,138","340,707","359,883","355,997","376,468","404,361","418,037","424,448","436,109","419,290","428,708","412,583","422,189","403,855","413,706","404,895","413,752","418,453","418,453","418,039","422,159","419,799","428,586","435,744","435,744","444,793","444,793","444,793","444,793",
Georgia,"All Private, not-for-profit Institutions",5,"52,123","60,525","54,435","61,190","56,236","62,149","58,017","63,562","60,608","65,720","61,592","66,698","64,712","69,007","66,636","71,144","67,729","72,779","67,834","73,233","70,034","73,394","70,339","73,262","71,081","74,106","72,294","75,797","74,602","78,169","76,422","79,905","77,648","81,348","80,037","81,348",
Georgia,"All Private, for-profit Institutions",6,0,"13,978",0,"29,095",0,"14,306",0,"17,011",0,"18,756",0,"23,333",0,"32,550",0,"38,921",0,"45,418",0,"30,783",663,"27,431",623,"25,172",662,"21,589",622,"19,400",593,"16,556",384,"14,870",302,"13,535",302,"13,535",
Georgia,"Public, 4-year",7,"191,174","198,753","192,255","196,056","193,612","197,418","204,578","208,784","217,631","222,091","229,974","234,792","248,533","253,716","256,052","261,566","259,914","265,698","268,320","274,522","266,885","273,434","281,687","288,473","297,070","297,070","306,336","310,456","305,668","314,455","318,412","318,412","322,864","322,864","322,864","322,864",
Georgia,"Private, not-for-profit, 4-year",8,"51,502","59,351","53,510","60,036","55,385","61,108","57,136","62,485","59,698","64,661","60,675","65,641","64,483","68,556","66,363","70,627","67,408","72,252","67,542","72,729","69,718","72,904","70,036","72,797","69,834","72,665","71,040","74,116","73,623","76,406","75,429","78,408","76,665","79,779","79,054","79,779",
Georgia,"Private, for-profit, 4-year",9,0,"12,064",0,"27,119",0,"10,378",0,"13,159",0,"15,146",0,"19,405",0,"25,628",0,"30,400",0,"36,464",0,"24,632",663,"21,116",623,"19,247",662,"16,696",622,"14,385",593,"12,307",384,"9,530",302,"8,299",302,"8,299",
Georgia,"Public, 2-year",10,"114,442","131,299","119,331","139,923","129,939","144,594","122,691","137,354","123,076","137,792","126,023","141,676","155,828","164,321","168,396","174,543","159,376","163,010","144,263","147,667","136,970","140,272","123,208","125,279","121,383","121,383","111,703","111,703","114,131","114,131","117,332","117,332","121,929","121,929","121,929","121,929",
Georgia,"Private, not-for-profit, 2-year",11,621,"1,174",925,"1,154",851,"1,041",881,"1,077",910,"1,059",917,"1,057",229,451,273,517,321,527,292,504,316,490,303,465,"1,247","1,441","1,254","1,681",979,"1,763",993,"1,497",983,"1,569",983,"1,569",
Georgia,"Private, for-profit, 2-year",12,0,"1,914",0,"1,976",0,"3,928",0,"3,852",0,"3,610",0,"3,928",0,"6,922",0,"8,521",0,"8,954",0,"6,151",0,"6,315",0,"5,925",0,"4,893",0,"5,015",0,"4,249",0,"5,340",0,"5,236",0,"5,236",
Hawaii,Overall,1,"54,110","66,095","53,923","65,745","53,455","65,735","56,088","65,701","56,485","65,710","59,708","69,111","64,533","73,813","67,812","76,896","68,116","77,611","68,084","76,953","72,989","74,980","69,823","71,912","65,721","67,915","62,642","64,771","61,352","63,384","60,475","61,504","59,410","60,237","59,410","60,237",
Hawaii,All 4-year Institutions,2,"26,675","38,310","27,157","38,676","30,318","42,228","32,841","42,137","32,627","41,819","33,481","42,884","35,068","44,348","35,991","45,075","36,592","46,087","37,040","45,909","42,856","44,421","41,271","42,857","38,944","40,628","37,227","38,839","37,213","38,623","36,748","37,086","36,336","36,537","36,336","36,537",
Hawaii,All 2-year Institutions,3,"27,435","27,785","26,766","27,069","23,137","23,507","23,247","23,564","23,858","23,891","26,227","26,227","29,465","29,465","31,821","31,821","31,524","31,524","31,044","31,044","30,133","30,559","28,552","29,055","26,777","27,287","25,415","25,932","24,139","24,761","23,727","24,418","23,074","23,700","23,074","23,700",
Hawaii,All Public Institutions,4,"50,316","50,316","50,569","50,569","50,157","50,157","49,990","49,990","50,454","50,454","53,526","53,526","57,945","57,945","60,090","60,090","60,330","60,330","60,295","60,295","58,941","58,941","57,052","57,052","55,756","55,756","53,418","53,418","51,674","51,674","51,063","51,063","49,977","49,977","49,977","49,977",
Hawaii,"All Private, not-for-profit Institutions",5,"3,794","14,667","3,354","13,963","3,298","14,294","6,098","14,278","5,082","13,119","5,112","13,469","5,212","13,395","5,737","14,273","5,835","14,751","6,078","14,292","12,370","13,087","11,370","11,969","9,965","10,586","9,224","9,814","9,678","10,159","9,412","9,695","9,433","9,578","9,433","9,578",
Hawaii,"All Private, for-profit Institutions",6,0,"1,112",0,"1,213",0,"1,284",0,"1,433",949,"2,137","1,070","2,116","1,376","2,473","1,985","2,533","1,951","2,530","1,711","2,366","1,678","2,952","1,401","2,891",0,"1,573",0,"1,539",0,"1,551",0,746,0,682,0,682,
Hawaii,"Public, 4-year",7,"23,972","23,972","24,671","24,671","27,827","27,827","27,571","27,571","27,545","27,545","28,369","28,369","29,856","29,856","30,254","30,254","30,757","30,757","30,962","30,962","30,486","30,486","29,901","29,901","28,979","28,979","28,003","28,003","27,535","27,535","27,336","27,336","26,903","26,903","26,903","26,903",
Hawaii,"Private, not-for-profit, 4-year",8,"2,703","13,576","2,486","13,095","2,491","13,459","5,270","13,437","5,082","13,119","5,112","13,469","5,212","13,395","5,737","14,273","5,835","14,751","6,078","14,292","12,370","13,087","11,370","11,969","9,965","10,586","9,224","9,814","9,678","10,159","9,412","9,695","9,433","9,578","9,433","9,578",
Hawaii,"Private, for-profit, 4-year",9,0,762,0,910,0,942,0,"1,129",0,"1,155",0,"1,046",0,"1,097",0,548,0,579,0,655,0,848,0,987,0,"1,063",0,"1,022",0,929,0,55,0,56,0,56,
Hawaii,"Public, 2-year",10,"26,344","26,344","25,898","25,898","22,330","22,330","22,419","22,419","22,909","22,909","25,157","25,157","28,089","28,089","29,836","29,836","29,573","29,573","29,333","29,333","28,455","28,455","27,151","27,151","26,777","26,777","25,415","25,415","24,139","24,139","23,727","23,727","23,074","23,074","23,074","23,074",
Hawaii,"Private, not-for-profit, 2-year",11,"1,091","1,091",868,868,807,835,828,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hawaii,"Private, for-profit, 2-year",12,0,350,0,303,0,342,0,304,949,982,"1,070","1,070","1,376","1,376","1,985","1,985","1,951","1,951","1,711","1,711","1,678","2,104","1,401","1,904",0,510,0,517,0,622,0,691,0,626,0,626,
Idaho,Overall,1,"73,182","74,488","73,837","75,090","74,975","76,476","75,076","76,761","76,186","77,798","77,405","79,352","80,155","83,293","81,153","84,041","86,123","89,008","106,156","106,867","107,855","108,434","117,660","118,191","120,404","120,824","123,558","123,821","131,693","131,823","123,508","123,618","122,213","122,372","122,213","122,372",
Idaho,All 4-year Institutions,2,"61,020","61,960","61,425","62,354","62,961","63,950","62,506","63,512","63,656","64,668","64,266","65,380","65,477","67,175","66,329","68,440","69,457","71,785","79,693","80,404","82,695","83,274","91,679","92,210","97,244","97,664","100,423","100,686","107,435","107,565","98,898","99,008","103,928","104,087","103,928","104,087",
Idaho,All 2-year Institutions,3,"12,162","12,528","12,412","12,736","12,014","12,526","12,570","13,249","12,530","13,130","13,139","13,972","14,678","16,118","14,824","15,601","16,666","17,223","26,463","26,463","25,160","25,160","25,981","25,981","23,160","23,160","23,135","23,135","24,258","24,258","24,610","24,610","18,285","18,285","18,285","18,285",
Idaho,All Public Institutions,4,"60,481","60,481","60,695","60,695","60,303","60,303","59,211","59,211","60,526","60,526","61,190","61,190","63,261","63,261","64,204","64,204","65,753","65,753","78,781","78,781","75,910","75,910","76,806","76,806","72,339","72,339","74,667","74,667","75,792","75,792","77,133","77,133","78,824","78,824","78,824","78,824",
Idaho,"All Private, not-for-profit Institutions",5,"12,701","13,641","13,142","14,071","14,672","15,661","15,865","16,871","15,660","16,672","16,215","17,329","16,894","18,081","16,949","18,185","20,370","21,618","26,552","26,749","31,060","31,246","40,017","40,192","47,075","47,225","47,949","48,087","55,003","55,133","45,506","45,616","42,347","42,506","42,347","42,506",
Idaho,"All Private, for-profit Institutions",6,0,366,0,324,0,512,0,679,0,600,0,833,0,"1,951",0,"1,652",0,"1,637",823,"1,337",885,"1,278",837,"1,193",990,"1,260",942,"1,067",898,898,869,869,"1,042","1,042","1,042","1,042",
Idaho,"Public, 4-year",7,"48,319","48,319","48,283","48,283","48,289","48,289","46,641","46,641","47,996","47,996","48,051","48,051","48,583","48,583","49,380","49,380","49,087","49,087","53,141","53,141","51,635","51,635","51,662","51,662","50,169","50,169","52,474","52,474","52,432","52,432","53,392","53,392","61,581","61,581","61,581","61,581",
Idaho,"Private, not-for-profit, 4-year",8,"12,701","13,641","13,142","14,071","14,672","15,661","15,865","16,871","15,660","16,672","16,215","17,329","16,894","18,081","16,949","18,185","20,370","21,618","26,552","26,749","31,060","31,246","40,017","40,192","47,075","47,225","47,949","48,087","55,003","55,133","45,506","45,616","42,347","42,506","42,347","42,506",
Idaho,"Private, for-profit, 4-year",9,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,875,0,"1,080",0,514,0,393,0,356,0,270,0,125,0,0,0,0,0,0,0,0,
Idaho,"Public, 2-year",10,"12,162","12,162","12,412","12,412","12,014","12,014","12,570","12,570","12,530","12,530","13,139","13,139","14,678","14,678","14,824","14,824","16,666","16,666","25,640","25,640","24,275","24,275","25,144","25,144","22,170","22,170","22,193","22,193","23,360","23,360","23,741","23,741","17,243","17,243","17,243","17,243",
Idaho,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Idaho,"Private, for-profit, 2-year",12,0,366,0,324,0,512,0,679,0,600,0,833,0,"1,440",0,777,0,557,823,823,885,885,837,837,990,990,942,942,898,898,869,869,"1,042","1,042","1,042","1,042",
Illinois,Overall,1,"798,544","832,022","801,109","836,452","790,668","859,313","801,403","857,199","812,370","866,149","839,255","898,141","888,157","949,392","918,837","975,995","881,620","944,965","855,901","901,124","852,018","883,081","844,468","862,173","815,910","831,817","790,479","805,134","766,921","778,941","751,141","758,608","733,470","746,664","733,470","746,664",
Illinois,All 4-year Institutions,2,"433,525","461,028","437,983","467,240","437,844","500,871","451,479","499,487","465,093","510,556","482,098","531,472","504,197","553,613","538,337","583,755","508,247","561,255","495,822","534,484","499,490","525,167","507,280","519,878","498,746","509,519","486,306","495,546","473,510","481,055","467,726","471,869","467,296","471,610","467,296","471,610",
Illinois,All 2-year Institutions,3,"365,019","370,994","363,126","369,212","352,824","358,442","349,924","357,712","347,277","355,593","357,157","366,669","383,960","395,779","380,500","392,240","373,373","383,710","360,079","366,640","352,528","357,914","337,188","342,295","317,164","322,298","304,173","309,588","293,411","297,886","283,415","286,739","266,174","275,054","266,174","275,054",
Illinois,All Public Institutions,4,"566,137","566,137","563,593","563,593","555,149","555,149","552,777","552,777","550,940","550,940","560,411","560,411","588,741","588,741","585,515","585,515","577,043","577,043","557,137","557,137","546,483","546,483","529,462","529,462","509,104","509,104","492,578","492,578","478,042","478,042","465,229","465,229","447,302","452,464","447,302","452,464",
Illinois,"All Private, not-for-profit Institutions",5,"183,743","200,953","186,708","204,248","191,282","208,772","202,020","213,325","209,719","219,872","212,909","223,682","217,161","227,656","219,480","230,465","219,370","234,259","220,421","228,492","218,854","226,038","217,984","224,722","216,908","223,622","214,595","220,928","214,005","218,177","212,758","216,608","212,451","216,666","212,451","216,666",
Illinois,"All Private, for-profit Institutions",6,"48,664","64,932","50,808","68,611","44,237","95,392","46,606","91,097","51,711","95,337","65,935","114,048","82,255","132,995","113,842","160,015","85,207","133,663","78,343","115,495","86,681","110,560","97,022","107,989","89,898","99,091","83,306","91,628","74,874","82,722","73,154","76,771","73,717","77,534","73,717","77,534",
Illinois,"Public, 4-year",7,"201,118","201,118","200,467","200,467","202,325","202,325","202,853","202,853","203,663","203,663","203,254","203,254","204,781","204,781","205,015","205,015","203,670","203,670","198,407","198,407","194,913","194,913","193,360","193,360","192,949","192,949","188,405","188,405","184,631","184,631","181,814","181,814","181,128","181,128","181,128","181,128",
Illinois,"Private, not-for-profit, 4-year",8,"183,743","199,999","186,708","203,378","191,282","207,827","202,020","212,416","209,719","218,639","212,909","222,556","217,161","226,319","219,480","229,383","219,370","233,337","220,421","227,774","218,854","225,295","217,984","223,987","216,908","223,233","214,595","220,560","214,005","217,756","212,758","216,197","212,451","216,302","212,451","216,302",
Illinois,"Private, for-profit, 4-year",9,"48,664","59,911","50,808","63,395","44,237","90,719","46,606","84,218","51,711","88,254","65,935","105,662","82,255","122,513","113,842","149,357","85,207","124,248","76,994","108,303","85,723","104,959","95,936","102,531","88,889","93,337","83,306","86,581","74,874","78,668","73,154","73,858","73,717","74,180","73,717","74,180",
Illinois,"Public, 2-year",10,"365,019","365,019","363,126","363,126","352,824","352,824","349,924","349,924","347,277","347,277","357,157","357,157","383,960","383,960","380,500","380,500","373,373","373,373","358,730","358,730","351,570","351,570","336,102","336,102","316,155","316,155","304,173","304,173","293,411","293,411","283,415","283,415","266,174","271,336","266,174","271,336",
Illinois,"Private, not-for-profit, 2-year",11,0,954,0,870,0,945,0,909,0,"1,233",0,"1,126",0,"1,337",0,"1,082",0,922,0,718,0,743,0,735,0,389,0,368,0,421,0,411,0,364,0,364,
Illinois,"Private, for-profit, 2-year",12,0,"5,021",0,"5,216",0,"4,673",0,"6,879",0,"7,083",0,"8,386",0,"10,482",0,"10,658",0,"9,415","1,349","7,192",958,"5,601","1,086","5,458","1,009","5,754",0,"5,047",0,"4,054",0,"2,913",0,"3,354",0,"3,354",
Indiana,Overall,1,"231,103","386,373","243,952","398,176","248,696","400,168","269,416","410,030","398,372","426,961","426,753","454,876","476,883","507,124","502,479","533,232","498,897","522,967","479,617","500,907","484,272","494,593","474,910","484,388","459,576","467,990","395,031","418,908","381,736","397,585","407,510","422,718","407,111","422,592","407,111","422,592",
Indiana,All 4-year Institutions,2,"151,735","298,692","161,267","306,726","176,026","317,186","191,656","323,062","315,323","337,670","329,383","350,802","358,746","379,841","391,244","412,186","387,884","405,111","375,321","390,906","380,935","386,825","379,393","384,677","374,023","378,518","315,398","336,717","305,613","318,608","335,089","347,645","334,036","346,911","334,036","346,911",
Indiana,All 2-year Institutions,3,"79,368","87,681","82,685","91,450","72,670","82,982","77,760","86,968","83,049","89,291","97,370","104,074","118,137","127,283","111,235","121,046","111,013","117,856","104,296","110,001","103,337","107,768","95,517","99,711","85,553","89,472","79,633","82,191","76,123","78,977","72,421","75,073","73,075","75,681","73,075","75,681",
Indiana,All Public Institutions,4,"138,351","262,957","143,139","266,916","144,413","267,298","160,261","271,704","278,951","278,951","296,950","296,950","325,072","325,072","337,705","337,705","340,264","340,264","333,769","333,769","335,923","335,923","328,442","328,442","321,500","321,500","313,489","319,581","301,562","301,562","294,731","294,731","294,512","294,512","294,512","294,512",
Indiana,"All Private, not-for-profit Institutions",5,"54,262","75,952","56,252","77,156","61,347","78,687","62,798","80,192","68,038","83,014","71,126","84,716","77,314","87,087","80,496","88,784","83,083","88,788","83,471","88,778","87,141","88,675","89,151","90,564","89,657","91,009","78,434","91,795","77,882","89,902","112,779","124,939","112,599","125,378","112,599","125,378",
Indiana,"All Private, for-profit Institutions",6,"38,490","47,464","44,561","54,104","42,936","54,183","46,357","58,134","51,383","64,996","58,677","73,210","74,497","94,965","84,278","106,743","75,550","93,915","62,377","78,360","61,208","69,995","57,317","65,382","48,419","55,481","3,108","7,532","2,292","6,121",0,"3,048",0,"2,702",0,"2,702",
Indiana,"Public, 4-year",7,"74,679","199,285","74,631","198,408","84,444","207,329","95,666","207,109","209,562","209,562","214,536","214,536","225,161","225,161","231,791","231,791","233,855","233,855","233,497","233,497","237,145","237,145","237,263","237,263","239,832","239,832","234,579","240,671","226,076","226,076","222,725","222,725","221,823","221,823","221,823","221,823",
Indiana,"Private, not-for-profit, 4-year",8,"53,169","74,834","55,621","76,497","60,723","78,036","62,307","79,689","67,527","82,503","70,631","84,221","76,761","86,534","79,918","88,206","82,550","88,255","83,032","88,339","86,717","88,251","88,751","90,164","89,153","90,505","77,852","91,213","77,334","89,354","112,364","124,524","112,213","124,992","112,213","124,992",
Indiana,"Private, for-profit, 4-year",9,"23,887","24,573","31,015","31,821","30,859","31,821","33,683","36,264","38,234","45,605","44,216","52,045","56,824","68,146","79,535","92,189","71,479","83,001","58,792","69,070","57,073","61,429","53,379","57,250","45,038","48,181","2,967","4,833","2,203","3,178",0,396,0,96,0,96,
