State,Sector,sector_sort,year,total_enrollment
Montana,All 2-year Institutions,3,Fall_2012_Active,"7,396"
Montana,All Public Institutions,4,Fall_2012_Active,"46,487"
Montana,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"3,608"
Montana,"All Private, for-profit Institutions",6,Fall_2012_Active,0
Montana,"Public, 4-year",7,Fall_2012_Active,"39,091"
Montana,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"3,608"
Montana,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Montana,"Public, 2-year",10,Fall_2012_Active,"7,396"
Montana,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Montana,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Nebraska,Overall,1,Fall_2012_Active,"136,025"
Nebraska,All 4-year Institutions,2,Fall_2012_Active,"90,795"
Nebraska,All 2-year Institutions,3,Fall_2012_Active,"45,230"
Nebraska,All Public Institutions,4,Fall_2012_Active,"104,016"
Nebraska,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"32,009"
Nebraska,"All Private, for-profit Institutions",6,Fall_2012_Active,0
Nebraska,"Public, 4-year",7,Fall_2012_Active,"58,786"
Nebraska,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"32,009"
Nebraska,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Nebraska,"Public, 2-year",10,Fall_2012_Active,"45,230"
Nebraska,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Nebraska,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Nevada,Overall,1,Fall_2012_Active,"105,540"
Nevada,All 4-year Institutions,2,Fall_2012_Active,"93,003"
Nevada,All 2-year Institutions,3,Fall_2012_Active,"12,537"
Nevada,All Public Institutions,4,Fall_2012_Active,"103,619"
Nevada,"All Private, not-for-profit Institutions",5,Fall_2012_Active,987
Nevada,"All Private, for-profit Institutions",6,Fall_2012_Active,934
Nevada,"Public, 4-year",7,Fall_2012_Active,"92,016"
Nevada,"Private, not-for-profit, 4-year",8,Fall_2012_Active,987
Nevada,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Nevada,"Public, 2-year",10,Fall_2012_Active,"11,603"
Nevada,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Nevada,"Private, for-profit, 2-year",12,Fall_2012_Active,934
New_Hampshire,Overall,1,Fall_2012_Active,"76,973"
New_Hampshire,All 4-year Institutions,2,Fall_2012_Active,"62,326"
New_Hampshire,All 2-year Institutions,3,Fall_2012_Active,"14,647"
New_Hampshire,All Public Institutions,4,Fall_2012_Active,"43,289"
New_Hampshire,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"33,684"
New_Hampshire,"All Private, for-profit Institutions",6,Fall_2012_Active,0
New_Hampshire,"Public, 4-year",7,Fall_2012_Active,"28,642"
New_Hampshire,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"33,684"
New_Hampshire,"Private, for-profit, 4-year",9,Fall_2012_Active,0
New_Hampshire,"Public, 2-year",10,Fall_2012_Active,"14,647"
New_Hampshire,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
New_Hampshire,"Private, for-profit, 2-year",12,Fall_2012_Active,0
New_Jersey,Overall,1,Fall_2012_Active,"425,890"
New_Jersey,All 4-year Institutions,2,Fall_2012_Active,"253,102"
New_Jersey,All 2-year Institutions,3,Fall_2012_Active,"172,788"
New_Jersey,All Public Institutions,4,Fall_2012_Active,"356,456"
New_Jersey,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"66,556"
New_Jersey,"All Private, for-profit Institutions",6,Fall_2012_Active,"2,878"
New_Jersey,"Public, 4-year",7,Fall_2012_Active,"183,668"
New_Jersey,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"66,556"
New_Jersey,"Private, for-profit, 4-year",9,Fall_2012_Active,"2,878"
New_Jersey,"Public, 2-year",10,Fall_2012_Active,"172,788"
New_Jersey,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
New_Jersey,"Private, for-profit, 2-year",12,Fall_2012_Active,0
New_Mexico,Overall,1,Fall_2012_Active,"141,840"
New_Mexico,All 4-year Institutions,2,Fall_2012_Active,"63,132"
New_Mexico,All 2-year Institutions,3,Fall_2012_Active,"78,708"
New_Mexico,All Public Institutions,4,Fall_2012_Active,"140,107"
New_Mexico,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"1,189"
New_Mexico,"All Private, for-profit Institutions",6,Fall_2012_Active,544
New_Mexico,"Public, 4-year",7,Fall_2012_Active,"61,399"
New_Mexico,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"1,189"
New_Mexico,"Private, for-profit, 4-year",9,Fall_2012_Active,544
New_Mexico,"Public, 2-year",10,Fall_2012_Active,"78,708"
New_Mexico,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
New_Mexico,"Private, for-profit, 2-year",12,Fall_2012_Active,0
New_York,Overall,1,Fall_2012_Active,"1,258,645"
New_York,All 4-year Institutions,2,Fall_2012_Active,"927,527"
New_York,All 2-year Institutions,3,Fall_2012_Active,"331,118"
New_York,All Public Institutions,4,Fall_2012_Active,"722,274"
New_York,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"502,703"
New_York,"All Private, for-profit Institutions",6,Fall_2012_Active,"33,668"
New_York,"Public, 4-year",7,Fall_2012_Active,"393,208"
New_York,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"502,292"
New_York,"Private, for-profit, 4-year",9,Fall_2012_Active,"32,027"
New_York,"Public, 2-year",10,Fall_2012_Active,"329,066"
New_York,"Private, not-for-profit, 2-year",11,Fall_2012_Active,411
New_York,"Private, for-profit, 2-year",12,Fall_2012_Active,"1,641"
North_Carolina,Overall,1,Fall_2012_Active,"548,703"
North_Carolina,All 4-year Institutions,2,Fall_2012_Active,"303,763"
North_Carolina,All 2-year Institutions,3,Fall_2012_Active,"244,940"
North_Carolina,All Public Institutions,4,Fall_2012_Active,"465,244"
North_Carolina,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"82,059"
North_Carolina,"All Private, for-profit Institutions",6,Fall_2012_Active,"1,400"
North_Carolina,"Public, 4-year",7,Fall_2012_Active,"221,010"
North_Carolina,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"81,353"
North_Carolina,"Private, for-profit, 4-year",9,Fall_2012_Active,"1,400"
North_Carolina,"Public, 2-year",10,Fall_2012_Active,"244,234"
North_Carolina,"Private, not-for-profit, 2-year",11,Fall_2012_Active,706
North_Carolina,"Private, for-profit, 2-year",12,Fall_2012_Active,0
North_Dakota,Overall,1,Fall_2012_Active,"52,294"
North_Dakota,All 4-year Institutions,2,Fall_2012_Active,"45,673"
North_Dakota,All 2-year Institutions,3,Fall_2012_Active,"6,621"
North_Dakota,All Public Institutions,4,Fall_2012_Active,"48,200"
North_Dakota,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"4,094"
North_Dakota,"All Private, for-profit Institutions",6,Fall_2012_Active,0
North_Dakota,"Public, 4-year",7,Fall_2012_Active,"41,579"
North_Dakota,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"4,094"
North_Dakota,"Private, for-profit, 4-year",9,Fall_2012_Active,0
North_Dakota,"Public, 2-year",10,Fall_2012_Active,"6,621"
North_Dakota,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
North_Dakota,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Ohio,Overall,1,Fall_2012_Active,"668,263"
Ohio,All 4-year Institutions,2,Fall_2012_Active,"478,434"
Ohio,All 2-year Institutions,3,Fall_2012_Active,"189,829"
Ohio,All Public Institutions,4,Fall_2012_Active,"524,338"
Ohio,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"143,639"
Ohio,"All Private, for-profit Institutions",6,Fall_2012_Active,286
Ohio,"Public, 4-year",7,Fall_2012_Active,"334,866"
Ohio,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"143,282"
Ohio,"Private, for-profit, 4-year",9,Fall_2012_Active,286
Ohio,"Public, 2-year",10,Fall_2012_Active,"189,472"
Ohio,"Private, not-for-profit, 2-year",11,Fall_2012_Active,357
Ohio,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Oklahoma,Overall,1,Fall_2012_Active,"213,947"
Oklahoma,All 4-year Institutions,2,Fall_2012_Active,"145,194"
Oklahoma,All 2-year Institutions,3,Fall_2012_Active,"68,753"
Oklahoma,All Public Institutions,4,Fall_2012_Active,"193,287"
Oklahoma,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"20,660"
Oklahoma,"All Private, for-profit Institutions",6,Fall_2012_Active,0
Oklahoma,"Public, 4-year",7,Fall_2012_Active,"124,534"
Oklahoma,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"20,660"
Oklahoma,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Oklahoma,"Public, 2-year",10,Fall_2012_Active,"68,753"
Oklahoma,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Oklahoma,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Oregon,Overall,1,Fall_2012_Active,"246,325"
Oregon,All 4-year Institutions,2,Fall_2012_Active,"134,007"
Oregon,All 2-year Institutions,3,Fall_2012_Active,"112,318"
Oregon,All Public Institutions,4,Fall_2012_Active,"211,273"
Oregon,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"30,544"
Oregon,"All Private, for-profit Institutions",6,Fall_2012_Active,"4,508"
Oregon,"Public, 4-year",7,Fall_2012_Active,"103,463"
Oregon,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"30,544"
Oregon,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Oregon,"Public, 2-year",10,Fall_2012_Active,"107,810"
Oregon,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Oregon,"Private, for-profit, 2-year",12,Fall_2012_Active,"4,508"
Pennsylvania,Overall,1,Fall_2012_Active,"720,928"
Pennsylvania,All 4-year Institutions,2,Fall_2012_Active,"567,830"
Pennsylvania,All 2-year Institutions,3,Fall_2012_Active,"153,098"
Pennsylvania,All Public Institutions,4,Fall_2012_Active,"425,890"
Pennsylvania,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"291,051"
Pennsylvania,"All Private, for-profit Institutions",6,Fall_2012_Active,"3,987"
Pennsylvania,"Public, 4-year",7,Fall_2012_Active,"281,541"
Pennsylvania,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"284,947"
Pennsylvania,"Private, for-profit, 4-year",9,Fall_2012_Active,"1,342"
Pennsylvania,"Public, 2-year",10,Fall_2012_Active,"144,349"
Pennsylvania,"Private, not-for-profit, 2-year",11,Fall_2012_Active,"6,104"
Pennsylvania,"Private, for-profit, 2-year",12,Fall_2012_Active,"2,645"
Rhode_Island,Overall,1,Fall_2012_Active,"89,961"
Rhode_Island,All 4-year Institutions,2,Fall_2012_Active,"72,077"
Rhode_Island,All 2-year Institutions,3,Fall_2012_Active,"17,884"
Rhode_Island,All Public Institutions,4,Fall_2012_Active,"43,204"
Rhode_Island,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"46,757"
Rhode_Island,"All Private, for-profit Institutions",6,Fall_2012_Active,0
Rhode_Island,"Public, 4-year",7,Fall_2012_Active,"25,320"
Rhode_Island,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"46,757"
Rhode_Island,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Rhode_Island,"Public, 2-year",10,Fall_2012_Active,"17,884"
Rhode_Island,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Rhode_Island,"Private, for-profit, 2-year",12,Fall_2012_Active,0
South_Carolina,Overall,1,Fall_2012_Active,"242,012"
South_Carolina,All 4-year Institutions,2,Fall_2012_Active,"141,244"
South_Carolina,All 2-year Institutions,3,Fall_2012_Active,"100,768"
South_Carolina,All Public Institutions,4,Fall_2012_Active,"207,020"
South_Carolina,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"30,896"
South_Carolina,"All Private, for-profit Institutions",6,Fall_2012_Active,"4,096"
South_Carolina,"Public, 4-year",7,Fall_2012_Active,"107,063"
South_Carolina,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"30,085"
South_Carolina,"Private, for-profit, 4-year",9,Fall_2012_Active,"4,096"
South_Carolina,"Public, 2-year",10,Fall_2012_Active,"99,957"
South_Carolina,"Private, not-for-profit, 2-year",11,Fall_2012_Active,811
South_Carolina,"Private, for-profit, 2-year",12,Fall_2012_Active,0
South_Dakota,Overall,1,Fall_2012_Active,"48,530"
South_Dakota,All 4-year Institutions,2,Fall_2012_Active,"42,358"
South_Dakota,All 2-year Institutions,3,Fall_2012_Active,"6,172"
South_Dakota,All Public Institutions,4,Fall_2012_Active,"42,427"
South_Dakota,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"6,103"
South_Dakota,"All Private, for-profit Institutions",6,Fall_2012_Active,0
South_Dakota,"Public, 4-year",7,Fall_2012_Active,"36,255"
South_Dakota,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"6,103"
South_Dakota,"Private, for-profit, 4-year",9,Fall_2012_Active,0
South_Dakota,"Public, 2-year",10,Fall_2012_Active,"6,172"
South_Dakota,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
South_Dakota,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Tennessee,Overall,1,Fall_2012_Active,"302,813"
Tennessee,All 4-year Institutions,2,Fall_2012_Active,"209,679"
Tennessee,All 2-year Institutions,3,Fall_2012_Active,"93,134"
Tennessee,All Public Institutions,4,Fall_2012_Active,"235,010"
Tennessee,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"66,971"
Tennessee,"All Private, for-profit Institutions",6,Fall_2012_Active,832
Tennessee,"Public, 4-year",7,Fall_2012_Active,"142,708"
Tennessee,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"66,971"
Tennessee,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Tennessee,"Public, 2-year",10,Fall_2012_Active,"92,302"
Tennessee,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Tennessee,"Private, for-profit, 2-year",12,Fall_2012_Active,832
Texas,Overall,1,Fall_2012_Active,"1,441,492"
Texas,All 4-year Institutions,2,Fall_2012_Active,"758,585"
Texas,All 2-year Institutions,3,Fall_2012_Active,"682,907"
Texas,All Public Institutions,4,Fall_2012_Active,"1,313,834"
Texas,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"127,208"
Texas,"All Private, for-profit Institutions",6,Fall_2012_Active,450
Texas,"Public, 4-year",7,Fall_2012_Active,"630,927"
Texas,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"127,208"
Texas,"Private, for-profit, 4-year",9,Fall_2012_Active,450
Texas,"Public, 2-year",10,Fall_2012_Active,"682,907"
Texas,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Texas,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Utah,Overall,1,Fall_2012_Active,"260,228"
Utah,All 4-year Institutions,2,Fall_2012_Active,"228,040"
Utah,All 2-year Institutions,3,Fall_2012_Active,"32,188"
Utah,All Public Institutions,4,Fall_2012_Active,"171,001"
Utah,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"81,270"
Utah,"All Private, for-profit Institutions",6,Fall_2012_Active,"7,957"
Utah,"Public, 4-year",7,Fall_2012_Active,"141,004"
Utah,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"79,079"
Utah,"Private, for-profit, 4-year",9,Fall_2012_Active,"7,957"
Utah,"Public, 2-year",10,Fall_2012_Active,"29,997"
Utah,"Private, not-for-profit, 2-year",11,Fall_2012_Active,"2,191"
Utah,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Vermont,Overall,1,Fall_2012_Active,"45,153"
Vermont,All 4-year Institutions,2,Fall_2012_Active,"38,842"
Vermont,All 2-year Institutions,3,Fall_2012_Active,"6,311"
Vermont,All Public Institutions,4,Fall_2012_Active,"26,501"
Vermont,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"18,135"
Vermont,"All Private, for-profit Institutions",6,Fall_2012_Active,517
Vermont,"Public, 4-year",7,Fall_2012_Active,"20,190"
Vermont,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"18,135"
Vermont,"Private, for-profit, 4-year",9,Fall_2012_Active,517
Vermont,"Public, 2-year",10,Fall_2012_Active,"6,311"
Vermont,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Vermont,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Virginia,Overall,1,Fall_2012_Active,"546,301"
Virginia,All 4-year Institutions,2,Fall_2012_Active,"349,204"
Virginia,All 2-year Institutions,3,Fall_2012_Active,"197,097"
Virginia,All Public Institutions,4,Fall_2012_Active,"409,753"
Virginia,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"121,908"
Virginia,"All Private, for-profit Institutions",6,Fall_2012_Active,"14,640"
Virginia,"Public, 4-year",7,Fall_2012_Active,"215,326"
Virginia,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"121,908"
Virginia,"Private, for-profit, 4-year",9,Fall_2012_Active,"11,970"
Virginia,"Public, 2-year",10,Fall_2012_Active,"194,427"
Virginia,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Virginia,"Private, for-profit, 2-year",12,Fall_2012_Active,"2,670"
Washington,Overall,1,Fall_2012_Active,"353,295"
Washington,All 4-year Institutions,2,Fall_2012_Active,"212,115"
Washington,All 2-year Institutions,3,Fall_2012_Active,"141,180"
Washington,All Public Institutions,4,Fall_2012_Active,"310,798"
Washington,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"39,472"
Washington,"All Private, for-profit Institutions",6,Fall_2012_Active,"3,025"
Washington,"Public, 4-year",7,Fall_2012_Active,"171,487"
Washington,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"39,472"
Washington,"Private, for-profit, 4-year",9,Fall_2012_Active,"1,156"
Washington,"Public, 2-year",10,Fall_2012_Active,"139,311"
Washington,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Washington,"Private, for-profit, 2-year",12,Fall_2012_Active,"1,869"
West_Virginia,Overall,1,Fall_2012_Active,"95,352"
West_Virginia,All 4-year Institutions,2,Fall_2012_Active,"77,919"
West_Virginia,All 2-year Institutions,3,Fall_2012_Active,"17,433"
West_Virginia,All Public Institutions,4,Fall_2012_Active,"88,452"
West_Virginia,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"6,900"
West_Virginia,"All Private, for-profit Institutions",6,Fall_2012_Active,0
West_Virginia,"Public, 4-year",7,Fall_2012_Active,"71,019"
West_Virginia,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"6,900"
West_Virginia,"Private, for-profit, 4-year",9,Fall_2012_Active,0
West_Virginia,"Public, 2-year",10,Fall_2012_Active,"17,433"
West_Virginia,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
West_Virginia,"Private, for-profit, 2-year",12,Fall_2012_Active,0
Wisconsin,Overall,1,Fall_2012_Active,"359,248"
Wisconsin,All 4-year Institutions,2,Fall_2012_Active,"248,121"
Wisconsin,All 2-year Institutions,3,Fall_2012_Active,"111,127"
Wisconsin,All Public Institutions,4,Fall_2012_Active,"293,416"
Wisconsin,"All Private, not-for-profit Institutions",5,Fall_2012_Active,"59,823"
Wisconsin,"All Private, for-profit Institutions",6,Fall_2012_Active,"6,009"
Wisconsin,"Public, 4-year",7,Fall_2012_Active,"182,437"
Wisconsin,"Private, not-for-profit, 4-year",8,Fall_2012_Active,"59,823"
Wisconsin,"Private, for-profit, 4-year",9,Fall_2012_Active,"5,861"
Wisconsin,"Public, 2-year",10,Fall_2012_Active,"110,979"
Wisconsin,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Wisconsin,"Private, for-profit, 2-year",12,Fall_2012_Active,148
Wyoming,Overall,1,Fall_2012_Active,"40,868"
Wyoming,All 4-year Institutions,2,Fall_2012_Active,"12,903"
Wyoming,All 2-year Institutions,3,Fall_2012_Active,"27,965"
Wyoming,All Public Institutions,4,Fall_2012_Active,"35,859"
Wyoming,"All Private, not-for-profit Institutions",5,Fall_2012_Active,0
Wyoming,"All Private, for-profit Institutions",6,Fall_2012_Active,"5,009"
Wyoming,"Public, 4-year",7,Fall_2012_Active,"12,903"
Wyoming,"Private, not-for-profit, 4-year",8,Fall_2012_Active,0
Wyoming,"Private, for-profit, 4-year",9,Fall_2012_Active,0
Wyoming,"Public, 2-year",10,Fall_2012_Active,"22,956"
Wyoming,"Private, not-for-profit, 2-year",11,Fall_2012_Active,0
Wyoming,"Private, for-profit, 2-year",12,Fall_2012_Active,"5,009"
United States,Overall,1,Fall_2012_IPEDS_Universe,"20,901,570"
United States,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"13,696,094"
United States,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"7,205,476"
United States,All Public Institutions,4,Fall_2012_IPEDS_Universe,"14,958,712"
United States,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,"4,091,991"
United States,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"1,850,867"
United States,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"8,161,184"
United States,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,"4,053,828"
United States,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"1,481,082"
United States,"Public, 2-year",10,Fall_2012_IPEDS_Universe,"6,797,528"
United States,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,"38,163"
United States,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,"369,785"
Midwest,Overall,1,Fall_2012_IPEDS_Universe,"4,769,303"
Midwest,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"3,234,557"
Midwest,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"1,534,746"
Midwest,All Public Institutions,4,Fall_2012_IPEDS_Universe,"3,333,436"
Midwest,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,"999,843"
Midwest,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"436,024"
Midwest,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"1,849,454"
Midwest,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,"992,354"
Midwest,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"392,749"
Midwest,"Public, 2-year",10,Fall_2012_IPEDS_Universe,"1,483,982"
Midwest,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,"7,489"
Midwest,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,"43,275"
Northeast,Overall,1,Fall_2012_IPEDS_Universe,"3,533,217"
Northeast,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"2,600,852"
Northeast,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"932,365"
Northeast,All Public Institutions,4,Fall_2012_IPEDS_Universe,"2,027,585"
Northeast,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,"1,377,745"
Northeast,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"127,887"
Northeast,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"1,160,750"
Northeast,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,"1,363,778"
Northeast,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"76,324"
Northeast,"Public, 2-year",10,Fall_2012_IPEDS_Universe,"866,835"
Northeast,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,"13,967"
Northeast,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,"51,563"
South,Overall,1,Fall_2012_IPEDS_Universe,"7,052,864"
South,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"4,711,789"
South,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"2,341,075"
South,All Public Institutions,4,Fall_2012_IPEDS_Universe,"5,555,295"
South,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,"1,033,804"
South,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"463,765"
South,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"3,352,040"
South,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,"1,022,442"
South,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"337,307"
South,"Public, 2-year",10,Fall_2012_IPEDS_Universe,"2,203,255"
South,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,"11,362"
South,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,"126,458"
West,Overall,1,Fall_2012_IPEDS_Universe,"5,287,491"
West,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"2,931,951"
West,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"2,355,540"
West,All Public Institutions,4,Fall_2012_IPEDS_Universe,"3,964,027"
West,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,"541,939"
West,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"781,525"
West,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"1,730,439"
West,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,"537,398"
West,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"664,114"
West,"Public, 2-year",10,Fall_2012_IPEDS_Universe,"2,233,588"
West,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,"4,541"
West,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,"117,411"
Alabama,Overall,1,Fall_2012_IPEDS_Universe,"316,190"
Alabama,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"219,244"
Alabama,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"96,946"
Alabama,All Public Institutions,4,Fall_2012_IPEDS_Universe,"251,045"
Alabama,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,"26,109"
Alabama,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"39,036"
Alabama,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"164,770"
Alabama,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,"25,591"
Alabama,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"28,883"
Alabama,"Public, 2-year",10,Fall_2012_IPEDS_Universe,"86,275"
Alabama,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,518
Alabama,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,"10,153"
Alaska,Overall,1,Fall_2012_IPEDS_Universe,"32,797"
Alaska,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"31,811"
Alaska,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,986
Alaska,All Public Institutions,4,Fall_2012_IPEDS_Universe,"30,595"
Alaska,"All Private, not-for-profit Institutions",5,Fall_2012_IPEDS_Universe,715
Alaska,"All Private, for-profit Institutions",6,Fall_2012_IPEDS_Universe,"1,487"
Alaska,"Public, 4-year",7,Fall_2012_IPEDS_Universe,"29,837"
Alaska,"Private, not-for-profit, 4-year",8,Fall_2012_IPEDS_Universe,715
Alaska,"Private, for-profit, 4-year",9,Fall_2012_IPEDS_Universe,"1,259"
Alaska,"Public, 2-year",10,Fall_2012_IPEDS_Universe,758
Alaska,"Private, not-for-profit, 2-year",11,Fall_2012_IPEDS_Universe,0
Alaska,"Private, for-profit, 2-year",12,Fall_2012_IPEDS_Universe,228
Arizona,Overall,1,Fall_2012_IPEDS_Universe,"811,746"
Arizona,All 4-year Institutions,2,Fall_2012_IPEDS_Universe,"580,611"
Arizona,All 2-year Institutions,3,Fall_2012_IPEDS_Universe,"231,135"
Arizona,All Public Institutions,4,Fall_2012_IPEDS_Universe,"359,229"
