State or Region,Institution Sector,sector_sort,Fall_2010_Active,Fall_2010_IPEDS_Universe,Fall_2011_Active,Fall_2011_IPEDS_Universe,Fall_2012_Active,Fall_2012_IPEDS_Universe,Fall_2013_Active,Fall_2013_IPEDS_Universe,Fall_2014_Active,Fall_2014_IPEDS_Universe,Fall_2015_Active,Fall_2015_IPEDS_Universe,Fall_2016_Active,Fall_2016_IPEDS_Universe,Fall_2017_Active,Fall_2017_IPEDS_Universe,Fall_2018_Active,Fall_2018_IPEDS_Universe,Fall_2019_Active,Fall_2019_IPEDS_Universe,Fall_2020_Active,Fall_2020_IPEDS_Universe
California,"Public, 4-year",7,"641,539","641,539","657,885","657,885","669,831","669,831","685,096","685,096","706,431","706,431","725,755","725,755","947,302","947,302","1,013,168","1,013,168","1,016,497","1,016,497","1,020,176","1,020,176","1,020,176","1,020,176"
California,"Private, not-for-profit, 4-year",8,"259,433","283,735","267,202","291,161","276,588","297,555","285,792","307,004","287,570","307,029","286,035","304,014","286,030","304,162","291,209","308,700","294,476","311,351","307,237","325,536","308,623","325,536"
California,"Private, for-profit, 4-year",9,"89,411","136,366","101,012","151,716","106,691","159,109","86,153","133,890","82,451","124,307","78,181","113,615","77,232","108,608","83,502","120,182","84,112","119,215","65,857","112,398","65,857","112,398"
California,"Public, 2-year",10,"1,573,339","1,582,109","1,514,589","1,520,744","1,459,110","1,459,321","1,462,866","1,463,051","1,460,228","1,461,013","1,472,616","1,477,339","1,277,312","1,281,630","1,229,330","1,233,676","1,232,468","1,233,722","1,225,933","1,227,052","1,225,933","1,227,052"
California,"Private, not-for-profit, 2-year",11,0,"1,239",0,"1,474",0,"1,665",0,"1,593",0,"1,864",0,"1,785",0,"1,602",0,"1,497",0,"1,260",0,"1,547",0,"1,547"
California,"Private, for-profit, 2-year",12,"16,096","82,123","20,805","86,800","24,572","68,997","20,547","64,060","16,994","58,307","6,604","37,725","4,103","30,381","5,612","25,755","3,239","23,399","3,261","25,065","3,261","25,065"
Colorado,Overall,1,"301,709","369,168","305,631","364,954","304,122","362,076","324,717","358,192","319,168","353,761","319,952","348,965","323,608","354,313","328,717","362,580","329,039","363,595","334,111","371,341","334,111","371,341"
Colorado,All 4-year Institutions,2,"196,196","251,859","202,938","252,385","204,042","253,363","229,257","254,698","228,351","254,931","233,826","255,801","250,529","274,493","261,555","288,226","288,373","314,535","312,341","340,232","312,341","340,232"
Colorado,All 2-year Institutions,3,"105,513","117,309","102,693","112,569","100,080","108,713","95,460","103,494","90,817","98,830","86,126","93,164","73,079","79,820","67,162","74,354","40,666","49,060","21,770","31,109","21,770","31,109"
Colorado,All Public Institutions,4,"269,407","274,026","269,298","273,711","267,186","276,564","263,821","275,216","258,782","271,993","255,990","269,939","261,062","276,904","266,528","283,185","267,019","283,831","270,885","287,859","270,885","287,859"
Colorado,"All Private, not-for-profit Institutions",5,"30,129","31,406","31,052","32,337","30,625","31,901","32,344","33,658","32,094","33,041","33,546","34,500","32,388","33,291","32,047","32,911","32,108","32,872","31,528","32,500","31,528","32,500"
Colorado,"All Private, for-profit Institutions",6,"2,173","63,736","5,281","58,906","6,311","53,611","28,552","49,318","28,292","48,727","30,416","44,526","30,158","44,118","30,142","46,484","29,912","46,892","31,698","50,982","31,698","50,982"
Colorado,"Public, 4-year",7,"163,894","168,513","169,441","173,854","169,392","178,770","170,276","181,671","169,630","182,841","170,925","184,874","188,503","204,345","199,630","216,287","226,476","243,288","249,403","266,377","249,403","266,377"
Colorado,"Private, not-for-profit, 4-year",8,"30,129","31,254","31,052","32,222","30,625","31,656","32,344","33,651","32,094","33,041","32,485","33,439","31,868","32,771","31,783","32,560","31,985","32,742","31,528","32,428","31,528","32,428"
Colorado,"Private, for-profit, 4-year",9,"2,173","52,092","2,445","46,309","4,025","42,937","26,637","39,376","26,627","39,049","30,416","37,488","30,158","37,377","30,142","39,379","29,912","38,505","31,410","41,427","31,410","41,427"
Colorado,"Public, 2-year",10,"105,513","105,513","99,857","99,857","97,794","97,794","93,545","93,545","89,152","89,152","85,065","85,065","72,559","72,559","66,898","66,898","40,543","40,543","21,482","21,482","21,482","21,482"
Colorado,"Private, not-for-profit, 2-year",11,0,152,0,115,0,245,0,7,0,0,"1,061","1,061",520,520,264,351,123,130,0,72,0,72
Colorado,"Private, for-profit, 2-year",12,0,"11,644","2,836","12,597","2,286","10,674","1,915","9,942","1,665","9,678",0,"7,038",0,"6,741",0,"7,105",0,"8,387",288,"9,555",288,"9,555"
Connecticut,Overall,1,"186,749","199,934","189,877","202,257","190,926","202,241","190,078","201,567","199,601","202,614","198,210","200,425","196,689","198,916","195,816","198,537","196,646","198,484","192,865","194,666","192,865","194,666"
Connecticut,All 4-year Institutions,2,"127,911","140,809","131,476","143,482","132,698","143,741","133,101","144,528","144,447","147,460","145,449","147,664","146,141","148,368","146,436","149,157","148,737","150,575","147,717","149,518","147,717","149,518"
Connecticut,All 2-year Institutions,3,"58,838","59,125","58,401","58,775","58,228","58,500","56,977","57,039","55,154","55,154","52,761","52,761","50,548","50,548","49,380","49,380","47,909","47,909","45,148","45,148","45,148","45,148"
Connecticut,All Public Institutions,4,"127,194","128,211","126,487","127,532","124,952","125,919","123,093","123,995","122,303","123,199","119,766","120,664","117,345","118,331","116,090","117,134","114,529","115,600","110,665","111,734","110,665","111,734"
Connecticut,"All Private, not-for-profit Institutions",5,"59,555","66,320","63,390","67,347","65,974","67,424","66,985","68,436","68,932","70,205","71,015","71,585","71,663","72,265","71,186","72,319","72,272","72,956","71,558","72,290","71,558","72,290"
Connecticut,"All Private, for-profit Institutions",6,0,"5,403",0,"7,378",0,"8,898",0,"9,136","8,366","9,210","7,429","8,176","7,681","8,320","8,540","9,084","9,845","9,928","10,642","10,642","10,642","10,642"
Connecticut,"Public, 4-year",7,"68,941","69,958","68,813","69,858","66,724","67,691","66,116","67,018","67,149","68,045","67,005","67,903","66,797","67,783","66,710","67,754","66,620","67,691","65,517","66,586","65,517","66,586"
Connecticut,"Private, not-for-profit, 4-year",8,"58,970","65,735","62,663","66,620","65,974","67,424","66,985","68,436","68,932","70,205","71,015","71,585","71,663","72,265","71,186","72,319","72,272","72,956","71,558","72,290","71,558","72,290"
Connecticut,"Private, for-profit, 4-year",9,0,"5,116",0,"7,004",0,"8,626",0,"9,074","8,366","9,210","7,429","8,176","7,681","8,320","8,540","9,084","9,845","9,928","10,642","10,642","10,642","10,642"
Connecticut,"Public, 2-year",10,"58,253","58,253","57,674","57,674","58,228","58,228","56,977","56,977","55,154","55,154","52,761","52,761","50,548","50,548","49,380","49,380","47,909","47,909","45,148","45,148","45,148","45,148"
Connecticut,"Private, not-for-profit, 2-year",11,585,585,727,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,"Private, for-profit, 2-year",12,0,287,0,374,0,272,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,Overall,1,"52,828","53,990","53,724","54,880","55,341","56,693","56,464","58,332","57,279","59,291","57,416","59,413","58,775","60,838","58,195","60,018","58,856","60,349","58,252","59,579","58,252","59,579"
Delaware,All 4-year Institutions,2,"37,131","38,293","38,422","39,578","40,197","41,549","41,778","43,646","43,159","45,171","43,792","45,789","58,605","60,668","58,052","59,875","58,738","60,231","58,117","59,444","58,117","59,444"
Delaware,All 2-year Institutions,3,"15,697","15,697","15,302","15,302","15,144","15,144","14,686","14,686","14,120","14,120","13,624","13,624",170,170,143,143,118,118,135,135,135,135
Delaware,All Public Institutions,4,"40,408","40,408","40,698","40,698","41,113","41,113","40,992","40,992","41,012","41,012","40,611","40,611","41,816","41,816","42,321","42,321","42,601","42,601","42,236","42,236","42,236","42,236"
Delaware,"All Private, not-for-profit Institutions",5,"12,420","13,582","13,026","14,182","14,228","15,580","15,472","17,340","16,267","18,279","16,805","18,802","16,959","19,022","15,874","17,697","16,255","17,748","16,016","17,343","16,016","17,343"
Delaware,"All Private, for-profit Institutions",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,"Public, 4-year",7,"24,934","24,934","25,643","25,643","26,180","26,180","26,502","26,502","27,077","27,077","27,140","27,140","41,816","41,816","42,321","42,321","42,601","42,601","42,236","42,236","42,236","42,236"
Delaware,"Private, not-for-profit, 4-year",8,"12,197","13,359","12,779","13,935","14,017","15,369","15,276","17,144","16,082","18,094","16,652","18,649","16,789","18,852","15,731","17,554","16,137","17,630","15,881","17,208","15,881","17,208"
Delaware,"Private, for-profit, 4-year",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,"Public, 2-year",10,"15,474","15,474","15,055","15,055","14,933","14,933","14,490","14,490","13,935","13,935","13,471","13,471",0,0,0,0,0,0,0,0,0,0
Delaware,"Private, not-for-profit, 2-year",11,223,223,247,247,211,211,196,196,185,185,153,153,170,170,143,143,118,118,135,135,135,135
Delaware,"Private, for-profit, 2-year",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District_of_Columbia,Overall,1,"141,457","143,270","134,392","135,965","127,162","128,526","122,187","123,595","121,225","121,885","126,033","127,212","126,749","127,520","130,007","130,654","134,927","135,551","140,924","141,533","140,924","141,533"
District_of_Columbia,All 4-year Institutions,2,"141,457","143,270","134,392","135,965","127,162","128,526","122,187","123,415","121,225","121,648","126,033","126,343","126,749","127,041","130,007","130,267","134,927","135,203","140,924","141,162","140,924","141,162"
District_of_Columbia,All 2-year Institutions,3,0,0,0,0,0,0,0,180,0,237,0,869,0,479,0,387,0,348,0,371,0,371
District_of_Columbia,All Public Institutions,4,"5,840","5,840","5,280","5,280","5,476","5,476","5,347","5,347","5,115","5,115","5,118","5,118","4,587","4,587","4,529","4,529","4,500","4,500","4,452","4,452","4,452","4,452"
District_of_Columbia,"All Private, not-for-profit Institutions",5,"76,701","78,215","77,338","78,644","77,631","78,703","77,648","78,535","77,951","78,132","78,726","78,910","78,400","78,552","80,508","80,678","80,774","80,939","80,693","80,839","80,693","80,839"
District_of_Columbia,"All Private, for-profit Institutions",6,"58,916","59,215","51,774","52,041","44,055","44,347","39,192","39,713","38,159","38,638","42,189","43,184","43,762","44,381","44,970","45,447","49,653","50,112","55,779","56,242","55,779","56,242"
District_of_Columbia,"Public, 4-year",7,"5,840","5,840","5,280","5,280","5,476","5,476","5,347","5,347","5,115","5,115","5,118","5,118","4,587","4,587","4,529","4,529","4,500","4,500","4,452","4,452","4,452","4,452"
District_of_Columbia,"Private, not-for-profit, 4-year",8,"76,701","78,215","77,338","78,644","77,631","78,703","77,648","78,535","77,951","78,110","78,726","78,881","78,400","78,552","80,508","80,678","80,774","80,939","80,693","80,839","80,693","80,839"
District_of_Columbia,"Private, for-profit, 4-year",9,"58,916","59,215","51,774","52,041","44,055","44,347","39,192","39,533","38,159","38,423","42,189","42,344","43,762","43,902","44,970","45,060","49,653","49,764","55,779","55,871","55,779","55,871"
District_of_Columbia,"Public, 2-year",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District_of_Columbia,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,0,0,22,0,29,0,0,0,0,0,0,0,0,0,0
District_of_Columbia,"Private, for-profit, 2-year",12,0,0,0,0,0,0,0,180,0,215,0,840,0,479,0,387,0,348,0,371,0,371
Florida,Overall,1,"921,525","1,101,630","962,982","1,121,969","989,232","1,128,563","988,143","1,102,005","983,955","1,086,463","972,738","1,060,524","969,045","1,058,522","966,199","1,055,107","965,575","1,054,157","961,552","1,053,249","983,218","1,053,249"
Florida,All 4-year Institutions,2,"798,333","934,944","879,664","995,833","914,863","1,013,447","933,820","1,015,709","939,571","1,010,746","925,832","985,846","933,508","993,846","931,998","989,873","934,881","992,858","931,685","993,549","953,351","993,549"
Florida,All 2-year Institutions,3,"123,192","166,686","83,318","126,136","74,369","115,116","54,323","86,296","44,384","75,717","46,906","74,678","35,537","64,676","34,201","65,234","30,694","61,299","29,867","59,700","29,867","59,700"
Florida,All Public Institutions,4,"782,089","790,027","795,438","803,200","797,168","804,693","793,700","795,860","793,548","795,628","792,257","794,390","797,048","797,048","796,589","798,045","799,026","800,451","797,952","797,952","797,952","797,952"
Florida,"All Private, not-for-profit Institutions",5,"135,606","160,819","135,562","178,884","150,249","178,673","152,706","178,599","151,905","179,621","168,307","206,006","160,149","204,437","158,663","202,813","155,920","201,147","157,304","201,409","157,304","201,409"
Florida,"All Private, for-profit Institutions",6,"3,830","150,784","31,982","139,885","41,815","145,197","41,737","127,546","38,502","111,214","12,174","60,128","11,848","57,037","10,947","54,249","10,629","52,559","6,296","53,888","27,962","53,888"
Florida,"Public, 4-year",7,"660,985","663,248","715,086","717,439","727,599","732,643","741,077","743,237","750,879","752,959","750,917","753,050","767,650","767,650","768,963","770,419","775,843","777,268","775,548","775,548","775,548","775,548"
Florida,"Private, not-for-profit, 4-year",8,"135,606","160,541","135,562","177,840","150,249","177,043","152,706","176,810","151,905","178,049","168,073","190,721","159,973","186,252","158,663","182,667","154,881","179,886","155,953","180,557","155,953","180,557"
Florida,"Private, for-profit, 4-year",9,"1,742","111,155","29,016","100,554","37,015","103,761","40,037","95,662","36,787","79,738","6,842","42,075","5,885","39,944","4,372","36,787","4,157","35,704",184,"37,444","21,850","37,444"
Florida,"Public, 2-year",10,"121,104","126,779","80,352","85,761","69,569","72,050","52,623","52,623","42,669","42,669","41,340","41,340","29,398","29,398","27,626","27,626","23,183","23,183","22,404","22,404","22,404","22,404"
Florida,"Private, not-for-profit, 2-year",11,0,278,0,"1,044",0,"1,630",0,"1,789",0,"1,572",234,"15,285",176,"18,185",0,"20,146","1,039","21,261","1,351","20,852","1,351","20,852"
Florida,"Private, for-profit, 2-year",12,"2,088","39,629","2,966","39,331","4,800","41,436","1,700","31,884","1,715","31,476","5,332","18,053","5,963","17,093","6,575","17,462","6,472","16,855","6,112","16,444","6,112","16,444"
Georgia,Overall,1,"491,084","546,174","487,019","546,905","480,417","526,205","474,552","514,531","475,857","512,186","490,196","514,148","490,955","517,356","494,994","523,311","512,550","530,519","522,743","539,676","525,132","539,676"
Georgia,All 4-year Institutions,2,"322,415","362,593","327,322","374,414","335,862","371,883","337,266","367,454","352,346","380,517","367,566","386,431","377,998","398,957","379,884","403,168","394,225","406,350","399,831","410,942","402,220","410,942"
Georgia,All 2-year Institutions,3,"168,669","183,581","159,697","172,491","144,555","154,322","137,286","147,077","123,511","131,669","122,630","127,717","112,957","118,399","115,110","120,143","118,325","124,169","122,912","128,734","122,912","128,734"
Georgia,All Public Institutions,4,"424,448","436,109","419,290","428,708","412,583","422,189","403,855","413,706","404,895","413,752","418,453","418,453","418,039","422,159","419,799","428,586","435,744","435,744","444,793","444,793","444,793","444,793"
Georgia,"All Private, not-for-profit Institutions",5,"66,636","71,144","67,729","72,779","67,834","73,233","70,034","73,394","70,339","73,262","71,081","74,106","72,294","75,797","74,602","78,169","76,422","79,905","77,648","81,348","80,037","81,348"
Georgia,"All Private, for-profit Institutions",6,0,"38,921",0,"45,418",0,"30,783",663,"27,431",623,"25,172",662,"21,589",622,"19,400",593,"16,556",384,"14,870",302,"13,535",302,"13,535"
Georgia,"Public, 4-year",7,"256,052","261,566","259,914","265,698","268,320","274,522","266,885","273,434","281,687","288,473","297,070","297,070","306,336","310,456","305,668","314,455","318,412","318,412","322,864","322,864","322,864","322,864"
Georgia,"Private, not-for-profit, 4-year",8,"66,363","70,627","67,408","72,252","67,542","72,729","69,718","72,904","70,036","72,797","69,834","72,665","71,040","74,116","73,623","76,406","75,429","78,408","76,665","79,779","79,054","79,779"
Georgia,"Private, for-profit, 4-year",9,0,"30,400",0,"36,464",0,"24,632",663,"21,116",623,"19,247",662,"16,696",622,"14,385",593,"12,307",384,"9,530",302,"8,299",302,"8,299"
Georgia,"Public, 2-year",10,"168,396","174,543","159,376","163,010","144,263","147,667","136,970","140,272","123,208","125,279","121,383","121,383","111,703","111,703","114,131","114,131","117,332","117,332","121,929","121,929","121,929","121,929"
Georgia,"Private, not-for-profit, 2-year",11,273,517,321,527,292,504,316,490,303,465,"1,247","1,441","1,254","1,681",979,"1,763",993,"1,497",983,"1,569",983,"1,569"
Georgia,"Private, for-profit, 2-year",12,0,"8,521",0,"8,954",0,"6,151",0,"6,315",0,"5,925",0,"4,893",0,"5,015",0,"4,249",0,"5,340",0,"5,236",0,"5,236"
Hawaii,Overall,1,"67,812","76,896","68,116","77,611","68,084","76,953","72,989","74,980","69,823","71,912","65,721","67,915","62,642","64,771","61,352","63,384","60,475","61,504","59,410","60,237","59,410","60,237"
Hawaii,All 4-year Institutions,2,"35,991","45,075","36,592","46,087","37,040","45,909","42,856","44,421","41,271","42,857","38,944","40,628","37,227","38,839","37,213","38,623","36,748","37,086","36,336","36,537","36,336","36,537"
Hawaii,All 2-year Institutions,3,"31,821","31,821","31,524","31,524","31,044","31,044","30,133","30,559","28,552","29,055","26,777","27,287","25,415","25,932","24,139","24,761","23,727","24,418","23,074","23,700","23,074","23,700"
Hawaii,All Public Institutions,4,"60,090","60,090","60,330","60,330","60,295","60,295","58,941","58,941","57,052","57,052","55,756","55,756","53,418","53,418","51,674","51,674","51,063","51,063","49,977","49,977","49,977","49,977"
Hawaii,"All Private, not-for-profit Institutions",5,"5,737","14,273","5,835","14,751","6,078","14,292","12,370","13,087","11,370","11,969","9,965","10,586","9,224","9,814","9,678","10,159","9,412","9,695","9,433","9,578","9,433","9,578"
Hawaii,"All Private, for-profit Institutions",6,"1,985","2,533","1,951","2,530","1,711","2,366","1,678","2,952","1,401","2,891",0,"1,573",0,"1,539",0,"1,551",0,746,0,682,0,682
Hawaii,"Public, 4-year",7,"30,254","30,254","30,757","30,757","30,962","30,962","30,486","30,486","29,901","29,901","28,979","28,979","28,003","28,003","27,535","27,535","27,336","27,336","26,903","26,903","26,903","26,903"
Hawaii,"Private, not-for-profit, 4-year",8,"5,737","14,273","5,835","14,751","6,078","14,292","12,370","13,087","11,370","11,969","9,965","10,586","9,224","9,814","9,678","10,159","9,412","9,695","9,433","9,578","9,433","9,578"
Hawaii,"Private, for-profit, 4-year",9,0,548,0,579,0,655,0,848,0,987,0,"1,063",0,"1,022",0,929,0,55,0,56,0,56
Hawaii,"Public, 2-year",10,"29,836","29,836","29,573","29,573","29,333","29,333","28,455","28,455","27,151","27,151","26,777","26,777","25,415","25,415","24,139","24,139","23,727","23,727","23,074","23,074","23,074","23,074"
Hawaii,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,"Private, for-profit, 2-year",12,"1,985","1,985","1,951","1,951","1,711","1,711","1,678","2,104","1,401","1,904",0,510,0,517,0,622,0,691,0,626,0,626
Idaho,Overall,1,"81,153","84,041","86,123","89,008","106,156","106,867","107,855","108,434","117,660","118,191","120,404","120,824","123,558","123,821","131,693","131,823","123,508","123,618","122,213","122,372","122,213","122,372"
Idaho,All 4-year Institutions,2,"66,329","68,440","69,457","71,785","79,693","80,404","82,695","83,274","91,679","92,210","97,244","97,664","100,423","100,686","107,435","107,565","98,898","99,008","103,928","104,087","103,928","104,087"
Idaho,All 2-year Institutions,3,"14,824","15,601","16,666","17,223","26,463","26,463","25,160","25,160","25,981","25,981","23,160","23,160","23,135","23,135","24,258","24,258","24,610","24,610","18,285","18,285","18,285","18,285"
Idaho,All Public Institutions,4,"64,204","64,204","65,753","65,753","78,781","78,781","75,910","75,910","76,806","76,806","72,339","72,339","74,667","74,667","75,792","75,792","77,133","77,133","78,824","78,824","78,824","78,824"
Idaho,"All Private, not-for-profit Institutions",5,"16,949","18,185","20,370","21,618","26,552","26,749","31,060","31,246","40,017","40,192","47,075","47,225","47,949","48,087","55,003","55,133","45,506","45,616","42,347","42,506","42,347","42,506"
Idaho,"All Private, for-profit Institutions",6,0,"1,652",0,"1,637",823,"1,337",885,"1,278",837,"1,193",990,"1,260",942,"1,067",898,898,869,869,"1,042","1,042","1,042","1,042"
Idaho,"Public, 4-year",7,"49,380","49,380","49,087","49,087","53,141","53,141","51,635","51,635","51,662","51,662","50,169","50,169","52,474","52,474","52,432","52,432","53,392","53,392","61,581","61,581","61,581","61,581"
Idaho,"Private, not-for-profit, 4-year",8,"16,949","18,185","20,370","21,618","26,552","26,749","31,060","31,246","40,017","40,192","47,075","47,225","47,949","48,087","55,003","55,133","45,506","45,616","42,347","42,506","42,347","42,506"
Idaho,"Private, for-profit, 4-year",9,0,875,0,"1,080",0,514,0,393,0,356,0,270,0,125,0,0,0,0,0,0,0,0
Idaho,"Public, 2-year",10,"14,824","14,824","16,666","16,666","25,640","25,640","24,275","24,275","25,144","25,144","22,170","22,170","22,193","22,193","23,360","23,360","23,741","23,741","17,243","17,243","17,243","17,243"
Idaho,"Private, not-for-profit, 2-year",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,"Private, for-profit, 2-year",12,0,777,0,557,823,823,885,885,837,837,990,990,942,942,898,898,869,869,"1,042","1,042","1,042","1,042"
Illinois,Overall,1,"918,837","975,995","881,620","944,965","855,901","901,124","852,018","883,081","844,468","862,173","815,910","831,817","790,479","805,134","766,921","778,941","751,141","758,608","733,470","746,664","733,470","746,664"
Illinois,All 4-year Institutions,2,"538,337","583,755","508,247","561,255","495,822","534,484","499,490","525,167","507,280","519,878","498,746","509,519","486,306","495,546","473,510","481,055","467,726","471,869","467,296","471,610","467,296","471,610"
Illinois,All 2-year Institutions,3,"380,500","392,240","373,373","383,710","360,079","366,640","352,528","357,914","337,188","342,295","317,164","322,298","304,173","309,588","293,411","297,886","283,415","286,739","266,174","275,054","266,174","275,054"
Illinois,All Public Institutions,4,"585,515","585,515","577,043","577,043","557,137","557,137","546,483","546,483","529,462","529,462","509,104","509,104","492,578","492,578","478,042","478,042","465,229","465,229","447,302","452,464","447,302","452,464"
Illinois,"All Private, not-for-profit Institutions",5,"219,480","230,465","219,370","234,259","220,421","228,492","218,854","226,038","217,984","224,722","216,908","223,622","214,595","220,928","214,005","218,177","212,758","216,608","212,451","216,666","212,451","216,666"
Illinois,"All Private, for-profit Institutions",6,"113,842","160,015","85,207","133,663","78,343","115,495","86,681","110,560","97,022","107,989","89,898","99,091","83,306","91,628","74,874","82,722","73,154","76,771","73,717","77,534","73,717","77,534"
Illinois,"Public, 4-year",7,"205,015","205,015","203,670","203,670","198,407","198,407","194,913","194,913","193,360","193,360","192,949","192,949","188,405","188,405","184,631","184,631","181,814","181,814","181,128","181,128","181,128","181,128"
Illinois,"Private, not-for-profit, 4-year",8,"219,480","229,383","219,370","233,337","220,421","227,774","218,854","225,295","217,984","223,987","216,908","223,233","214,595","220,560","214,005","217,756","212,758","216,197","212,451","216,302","212,451","216,302"
Illinois,"Private, for-profit, 4-year",9,"113,842","149,357","85,207","124,248","76,994","108,303","85,723","104,959","95,936","102,531","88,889","93,337","83,306","86,581","74,874","78,668","73,154","73,858","73,717","74,180","73,717","74,180"
Illinois,"Public, 2-year",10,"380,500","380,500","373,373","373,373","358,730","358,730","351,570","351,570","336,102","336,102","316,155","316,155","304,173","304,173","293,411","293,411","283,415","283,415","266,174","271,336","266,174","271,336"
Illinois,"Private, not-for-profit, 2-year",11,0,"1,082",0,922,0,718,0,743,0,735,0,389,0,368,0,421,0,411,0,364,0,364
Illinois,"Private, for-profit, 2-year",12,0,"10,658",0,"9,415","1,349","7,192",958,"5,601","1,086","5,458","1,009","5,754",0,"5,047",0,"4,054",0,"2,913",0,"3,354",0,"3,354"
Indiana,Overall,1,"502,479","533,232","498,897","522,967","479,617","500,907","484,272","494,593","474,910","484,388","459,576","467,990","395,031","418,908","381,736","397,585","407,510","422,718","407,111","422,592","407,111","422,592"
Indiana,All 4-year Institutions,2,"391,244","412,186","387,884","405,111","375,321","390,906","380,935","386,825","379,393","384,677","374,023","378,518","315,398","336,717","305,613","318,608","335,089","347,645","334,036","346,911","334,036","346,911"
Indiana,All 2-year Institutions,3,"111,235","121,046","111,013","117,856","104,296","110,001","103,337","107,768","95,517","99,711","85,553","89,472","79,633","82,191","76,123","78,977","72,421","75,073","73,075","75,681","73,075","75,681"
Indiana,All Public Institutions,4,"337,705","337,705","340,264","340,264","333,769","333,769","335,923","335,923","328,442","328,442","321,500","321,500","313,489","319,581","301,562","301,562","294,731","294,731","294,512","294,512","294,512","294,512"
Indiana,"All Private, not-for-profit Institutions",5,"80,496","88,784","83,083","88,788","83,471","88,778","87,141","88,675","89,151","90,564","89,657","91,009","78,434","91,795","77,882","89,902","112,779","124,939","112,599","125,378","112,599","125,378"
Indiana,"All Private, for-profit Institutions",6,"84,278","106,743","75,550","93,915","62,377","78,360","61,208","69,995","57,317","65,382","48,419","55,481","3,108","7,532","2,292","6,121",0,"3,048",0,"2,702",0,"2,702"
Indiana,"Public, 4-year",7,"231,791","231,791","233,855","233,855","233,497","233,497","237,145","237,145","237,263","237,263","239,832","239,832","234,579","240,671","226,076","226,076","222,725","222,725","221,823","221,823","221,823","221,823"
Indiana,"Private, not-for-profit, 4-year",8,"79,918","88,206","82,550","88,255","83,032","88,339","86,717","88,251","88,751","90,164","89,153","90,505","77,852","91,213","77,334","89,354","112,364","124,524","112,213","124,992","112,213","124,992"
Indiana,"Private, for-profit, 4-year",9,"79,535","92,189","71,479","83,001","58,792","69,070","57,073","61,429","53,379","57,250","45,038","48,181","2,967","4,833","2,203","3,178",0,396,0,96,0,96
Indiana,"Public, 2-year",10,"105,914","105,914","106,409","106,409","100,272","100,272","98,778","98,778","91,179","91,179","81,668","81,668","78,910","78,910","75,486","75,486","72,006","72,006","72,689","72,689","72,689","72,689"
Indiana,"Private, not-for-profit, 2-year",11,578,578,533,533,439,439,424,424,400,400,504,504,582,582,548,548,415,415,386,386,386,386
Indiana,"Private, for-profit, 2-year",12,"4,743","14,554","4,071","10,914","3,585","9,290","4,135","8,566","3,938","8,132","3,381","7,300",141,"2,699",89,"2,943",0,"2,652",0,"2,606",0,"2,606"
Iowa,Overall,1,"233,860","318,367","234,879","297,135","229,018","283,076","281,868","284,534","283,384","286,095","276,568","278,455","269,267","270,397","263,535","264,644","221,045","222,084","217,190","218,033","217,190","218,033"
Iowa,All 4-year Institutions,2,"127,480","211,232","128,977","190,277","128,610","182,181","188,086","190,149","189,821","191,969","184,102","185,556","178,458","179,328","173,293","174,295","131,623","132,586","128,367","129,156","128,367","129,156"
Iowa,All 2-year Institutions,3,"106,380","107,135","105,902","106,858","100,408","100,895","93,782","94,385","93,563","94,126","92,466","92,899","90,809","91,069","90,242","90,349","89,422","89,498","88,823","88,877","88,823","88,877"
Iowa,All Public Institutions,4,"177,781","177,781","178,491","178,491","173,558","173,558","168,644","168,644","169,896","169,896","171,005","171,005","171,075","171,075","170,427","170,427","167,257","167,257","163,912","163,912","163,912","163,912"
Iowa,"All Private, not-for-profit Institutions",5,"55,436","57,373","55,571","57,486","54,354","56,207","54,397","56,283","54,119","56,114","52,775","54,079","52,768","53,475","52,002","52,870","50,638","51,467","50,207","50,862","50,207","50,862"
Iowa,"All Private, for-profit Institutions",6,643,"83,213",817,"61,158","1,106","53,311","58,827","59,607","59,369","60,085","52,788","53,371","45,424","45,847","41,106","41,347","3,150","3,360","3,071","3,259","3,071","3,259"
Iowa,"Public, 4-year",7,"71,401","71,401","72,589","72,589","73,150","73,150","74,862","74,862","76,333","76,333","78,539","78,539","80,266","80,266","80,185","80,185","77,835","77,835","75,089","75,089","75,089","75,089"
Iowa,"Private, not-for-profit, 4-year",8,"55,436","57,183","55,571","57,293","54,354","56,004","54,397","56,283","54,119","56,114","52,775","54,079","52,768","53,475","52,002","52,870","50,638","51,467","50,207","50,862","50,207","50,862"
